id,datum_zahajeni,omezeni_dodavky,nahradni_zasobovani,obec,ulice,datum_ukonceni,poznamka,longitude,latitude,ObjectId,GlobalID,x,y
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52674994,49.22381836,71,c1afe273-8629-4607-b5b5-77b487d56b05,1839749.38778856,6312924.37093105
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52651511,49.22367731,72,7990355c-cc66-46af-ab29-f8321eddf502,1839723.24663254,6312900.32951177
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52650825,49.22352686,73,7875b606-811e-417f-94da-4dcfa22f70e9,1839722.48298083,6312874.68597499
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52645046,49.22347774,74,d538e5e9-fb74-439a-896b-5447745938ef,1839716.04982746,6312866.31370525
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.5268663,49.22357097,75,d31705a3-ea66-4dfa-830e-65e1f5184549,1839762.34092451,6312882.20432122
PU_PU_OM.30184356,01.02.2026 03:37,Ano,cisterna,Brno,Živného,01.02.2026 15:00,Cisterna bude přistavena:,16.52665138,49.2237112,76,13bcbbe9-1c52-446b-b6d3-031e4ee1bfd1,1839738.41613955,6312906.10592309
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66981245,49.18929241,77,98a8e69f-99c3-4759-b1a8-abc0ffa5584e,1855675.03355337,6307041.60430838
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66869592,49.18845814,78,adeff174-9642-4d6f-a327-2ad4b235327f,1855550.74200232,6306899.50651231
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66878876,49.18852766,79,66f9b99d-f4a4-4f64-8ef8-405148cab583,1855561.07690384,6306911.34747799
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66879891,49.18856998,80,cc1cab36-ada4-4db1-a7e8-4f272dbded81,1855562.20679667,6306918.55562289
PU_PU_OM.30184336,31.01.2026 12:26,Ano,cisterna,Brno,Podstránská,31.01.2026 19:00,Cisterna: Podstránská 110,16.66887528,49.18862253,81,3f7ab54a-8c20-40e7-a714-204f343ff051,1855570.70826619,6306927.50619893
